HSCode,Name,Metro_Area,City,Admitted2015,Enrolled2015,enrolled2015PctSeniors,campus_url,twelfthcount,allstudentscount,BlackHispMulti,WhiteOther,Color,african_american_percent,hispanic_percent,atRiskPct,ecoDisPct,collegeReadyBothPct
2441951,Denton High School,Dallas-Fort Worth-Arlington,Denton,15,7,0.016,/districts/denton-isd/denton-high-school/,435,2157,0.49,0.51,White,16.2,31,0.422,0.402,0.53
2441967,Desoto High School,Dallas-Fort Worth-Arlington,Desoto,21,6,0.01,/districts/desoto-isd/desoto-high-school/,598,2251,0.97,0.04,Minority,81.3,14.5,0.404,0.598,0.36
2444711,Dr John D Horn High School,Dallas-Fort Worth-Arlington,Mesquite,10,5,0.01,/districts/mesquite-isd/horn-high-school/,491,2282,0.75,0.25,Minority,35.9,37.3,0.411,0.486,0.58
2442602,Dr Justin Wakeland High School,Dallas-Fort Worth-Arlington,Frisco,22,9,0.02,/districts/frisco-isd/wakeland-high-school/,451,2218,0.22,0.78,White,6.7,12.8,0.136,0.073,0.82
2444713,Dr Ralph H Poteet High School,Dallas-Fort Worth-Arlington,Mesquite,9,3,0.008,/districts/mesquite-isd/poteet-high-school/,367,1743,0.65,0.35,Minority,25.6,36.5,0.348,0.509,0.54
2442085,Duncanville High School,Dallas-Fort Worth-Arlington,Duncanville,35,20,0.023,/districts/duncanville-isd/duncanville-high-school/,854,3923,0.93,0.08,Minority,45,46.8,0.636,0.68,0.4
2444132,Edward S Marcus High School,Dallas-Fort Worth-Arlington,Flower Mound,46,25,0.033,/districts/lewisville-isd/marcus-high-school/,759,2439,0.18,0.82,White,4.4,11.5,0.141,0.071,0.79
2442290,Ennis High School,Dallas-Fort Worth-Arlington,Ennis,4,2,0.005,/districts/ennis-isd/ennis-high-school/,374,1623,0.67,0.33,Minority,13.5,51.6,0.581,0.627,0.47
2445844,Evolution Academy Charter Schl,Dallas-Fort Worth-Arlington,Richardson,1,1,0.008,/districts/evolution-academy-charter-school/evolution-academy-charter-school/,124,516,0.87,0.13,Minority,40.9,45,0.924,0.486,0.26
2442400,Ferris High School,Dallas-Fort Worth-Arlington,Ferris,2,1,0.007,/districts/ferris-isd/ferris-high-school/,153,651,0.75,0.25,Minority,7.4,67,0.438,0.722,0.44
2442434,Flower Mound High School,Dallas-Fort Worth-Arlington,Flower Mound,68,46,0.054,/districts/lewisville-isd/flower-mound-high-school/,856,2550,0.15,0.85,White,3.1,9.6,0.111,0.033,0.83
2442465,Forney High School,Dallas-Fort Worth-Arlington,Forney,6,3,0.009,/districts/forney-isd/forney-high-school/,318,1402,0.32,0.69,White,8.1,21.8,0.267,0.179,0.68
2443753,Fossil Ridge High School,Dallas-Fort Worth-Arlington,Keller,11,9,0.018,/districts/keller-isd/fossil-ridge-high-school/,493,2308,0.47,0.53,White,13.1,30.3,0.364,0.396,0.66
2442635,Frisco High School,Dallas-Fort Worth-Arlington,Frisco,39,23,0.051,/districts/frisco-isd/frisco-high-school/,449,2136,0.33,0.67,White,10.6,20.1,0.214,0.16,0.76
2444466,Frontier High School,Dallas-Fort Worth-Arlington,Mansfield,5,3,0.025,/districts/mansfield-isd/mansfield-frontier-high-school/,118,222,0.48,0.52,White,17.1,24.8,0.257,0.324,0.58
2442731,Garland High School,Dallas-Fort Worth-Arlington,Garland,30,13,0.022,/districts/garland-isd/garland-high-school/,594,2620,0.74,0.27,Minority,13.7,57.7,0.576,0.548,0.52
2441849,Garza Early College High School,Dallas-Fort Worth-Arlington,Dallas,7,4,0.04,/districts/dallas-isd/trinidad-garza-early-college-high-school-at-mountain-view/,101,419,0.98,0.02,Minority,11.2,86.2,0.208,0.84,0.86
2442845,Glen Rose High School,Dallas-Fort Worth-Arlington,Glen Rose,3,1,0.009,/districts/glen-rose-isd/glen-rose-high-school/,106,475,0.32,0.68,White,0.6,30.1,0.4,0.318,0.51
2442855,Godley High School,Dallas-Fort Worth-Arlington,Godley,1,1,0.01,/districts/godley-isd/godley-high-school/,101,526,0.23,0.77,White,0.8,20.2,0.471,0.441,0.62
2442915,Granbury Senior High School,Dallas-Fort Worth-Arlington,Granbury,12,7,0.017,/districts/granbury-isd/granbury-high-school/,411,1410,0.24,0.77,White,0.4,21.3,0.304,0.375,0.58
2442930,Grand Prairie High School,Dallas-Fort Worth-Arlington,Grand Prairie,13,1,0.002,/districts/grand-prairie-isd/grand-prairie-high-school/,508,2553,0.91,0.09,Minority,14.9,75.2,0.694,0.798,0.43
2442965,Grapevine Senior High School,Dallas-Fort Worth-Arlington,Grapevine,41,19,0.037,/districts/grapevine-colleyville-isd/grapevine-high-school/,508,2005,0.28,0.72,White,4.3,20.1,0.317,0.166,0.8
2442570,Green B Trimble Technical High School,Dallas-Fort Worth-Arlington,Fort Worth,16,4,0.009,/districts/fort-worth-isd/trimble-technical-high-school/,430,1798,0.98,0.02,Minority,17.6,79.4,0.667,0.626,0.52
2441738,H Grady Spruce High School,Dallas-Fort Worth-Arlington,Dallas,2,1,0.004,/districts/dallas-isd/h-grady-spruce-high-school/,227,1487,0.98,0.02,Minority,21.7,75.9,0.84,0.896,0.32
2442510,Haltom High School,Dallas-Fort Worth-Arlington,Haltom City,14,6,0.011,/districts/birdville-isd/haltom-high-school/,543,2581,0.6,0.4,Minority,8.1,50,0.611,0.658,0.44
2441146,Hebron High School,Dallas-Fort Worth-Arlington,Carrollton,44,17,0.023,/districts/lewisville-isd/hebron-high-school/,741,2458,0.33,0.67,White,11.7,18.2,0.164,0.17,0.72
2442488,Heritage High School,Dallas-Fort Worth-Arlington,Frisco,22,9,0.02,/districts/frisco-isd/heritage-high-school/,448,1838,0.4,0.61,White,19.5,16.5,0.252,0.162,0.76
2441740,Highland Park High School,Dallas-Fort Worth-Arlington,Dallas,110,67,0.123,/districts/highland-park-isd-dallas/highland-park-high-school/,546,2140,0.06,0.94,White,0.2,5.2,0.093,0,0.94
2441745,Hillcrest High School,Dallas-Fort Worth-Arlington,Dallas,17,9,0.033,/districts/dallas-isd/hillcrest-high-school/,269,1238,0.86,0.14,Minority,17.2,68.4,0.679,0.774,0.45
2443560,Irving High School,Dallas-Fort Worth-Arlington,Irving,15,5,0.01,/districts/irving-isd/irving-high-school/,500,2421,0.91,0.09,Minority,8.3,81.7,0.763,0.737,0.51
2445839,J J Pearce High School,Dallas-Fort Worth-Arlington,Richardson,45,30,0.06,/districts/richardson-isd/pearce-high-school/,501,2243,0.49,0.51,White,6.4,40.1,0.344,0.307,0.72
2443553,Jack E Singley Academy,Dallas-Fort Worth-Arlington,Irving,20,9,0.025,/districts/irving-isd/jack-e-singley-academy/,361,1722,0.84,0.17,Minority,8.2,74.6,0.673,0.69,0.5
2440243,James Bowie High School,Dallas-Fort Worth-Arlington,Arlington,18,7,0.011,/districts/arlington-isd/bowie-high-school/,658,3053,0.72,0.28,Minority,36.7,34.1,0.671,0.601,0.47
