High School Name,Metro_Area,HS City,enrolled2015PctSeniors,BlackHispMulti,WhiteOther,atRiskPct,ecoDisPct,collegeReadyBothPct,avgSAT,avgACT,Admitted2015,Enrolled2015,Color
La Marque High School,Houston-The Woodlands-Sugar Land,La Marque,0.00781,0.886,0.114,0.249,0.188,0.37,1220,16.7,1,1,Minority
Scarborough Senior High School,Houston-The Woodlands-Sugar Land,Houston,0.00763,0.955,0.044,0.773,0.926,0.25,1051,16.6,5,1,Minority
Pasadena High School,Houston-The Woodlands-Sugar Land,Pasadena,0.00752,0.958,0.042,0.54,0.798,0.38,1263,18.2,17,4,Minority
Willis High School,Houston-The Woodlands-Sugar Land,Willis,0.00739,0.41,0.59,0.533,0.495,0.46,1391,20,10,3,White
Charles H Milby High School,Houston-The Woodlands-Sugar Land,Houston,0.00735,0.993,0.008,0.82,0.72,0.26,1098,19.3,12,3,Minority
Willowridge High School,Houston-The Woodlands-Sugar Land,Houston,0.0073,0.988,0.012,0.533,0.723,0.21,1154,15.5,4,2,Minority
Conroe High School,Houston-The Woodlands-Sugar Land,Conroe,0.00694,0.649,0.35,0.542,0.562,0.49,1393,20.6,14,5,Minority
Crosby High School,Houston-The Woodlands-Sugar Land,Crosby,0.00687,0.522,0.476,0.442,0.362,0.51,1418,18.8,6,2,Minority
Aldine Senior High School,Houston-The Woodlands-Sugar Land,Houston,0.00624,0.969,0.031,0.733,0.799,0.49,1260,16.8,24,4,Minority
Macarthur High School,Houston-The Woodlands-Sugar Land,Houston,0.0062,0.981,0.02,0.728,0.823,0.52,1257,17.4,29,5,Minority
Stephen F. Austin High School,Houston-The Woodlands-Sugar Land,Houston,0.0061,0.987,0.014,0.844,0.842,0.42,1107,15.6,6,2,Minority
J Frank Dobie High School,Houston-The Woodlands-Sugar Land,Houston,0.00593,0.829,0.17,0.507,0.563,0.48,1360,21.8,23,5,Minority
Magnolia West High School,Houston-The Woodlands-Sugar Land,Magnolia,0.00592,0.313,0.686,0.222,0.381,0.46,1454,22,5,2,White
Eisenhower High School,Houston-The Woodlands-Sugar Land,Houston,0.00587,0.958,0.042,0.774,0.65,0.4,1237,17.3,23,3,Minority
Columbia High School,Houston-The Woodlands-Sugar Land,West Columbia,0.00585,0.415,0.584,0.438,0.459,0.38,1418,21.6,2,1,White
Brazosport High School,Houston-The Woodlands-Sugar Land,Freeport,0.00524,0.812,0.189,0.715,0.662,0.3,1288,17.8,5,1,Minority
Northbrook Senior High School,Houston-The Woodlands-Sugar Land,Houston,0.00462,0.944,0.054,0.707,0.848,0.32,1201,16.7,12,2,Minority
Channelview High School,Houston-The Woodlands-Sugar Land,Channelview,0.00412,0.889,0.111,0.471,0.692,0.5,1296,17.3,11,2,Minority
New Caney High School,Houston-The Woodlands-Sugar Land,New Caney,0.00337,0.484,0.514,0.603,0.606,0.44,1372,19.5,6,1,White
South Houston High School,Houston-The Woodlands-Sugar Land,South Houston,0.00336,0.96,0.039,0.528,0.811,0.4,1266,16.8,17,2,Minority
Texas Connections Academy At Houston,Houston-The Woodlands-Sugar Land,Houston,0.00301,0.408,0.591,0.197,0.439,0.54,1521,22.7,1,1,White
Jefferson Davis Sr High School,Houston-The Woodlands-Sugar Land,Houston,0.00255,0.987,0.014,0.838,0.968,0.33,1096,16.5,23,1,Minority
Westbury Senior High School,Houston-The Woodlands-Sugar Land,Houston,0.00214,0.923,0.077,0.837,0.72,0.31,1086,16.2,15,1,Minority
